name,status,beginDate,endDate,stationTriplet,latitude,longitude,elevation,countyName,huc
Blackwater,Complete,1979-10-01 00:00,2100-01-01 00:00,350:WY:SNTL,44.37667,-109.79333,9840.00,Park,100800120209
Blewett Pass,Complete,1979-10-01 00:00,2100-01-01 00:00,352:WA:SNTL,47.35037,-120.67960,4240.00,Chelan,170200110501
Blind Bull Sum,Complete,1978-10-01 00:00,2100-01-01 00:00,353:WY:SNTL,42.96413,-110.60992,8880.00,Sublette,140401010402
Bloody Dick,Complete,1976-10-01 00:00,2100-01-01 00:00,355:MT:SNTL,45.16507,-113.50099,7570.00,Beaverhead,100200011002
Blue Lakes,Complete,1980-10-01 00:00,2100-01-01 00:00,356:CA:SNTL,38.60801,-119.92455,8060.00,Alpine,180400120101
Bogus Basin,Complete,1999-09-21 00:00,2100-01-01 00:00,978:ID:SNTL,43.76377,-116.09685,6370.00,Boise,170501220201
Bostetter R.S.,Complete,1979-10-01 00:00,2100-01-01 00:00,359:ID:SNTL,42.16442,-114.19272,7530.00,Cassia,170402120201
Boulder Mountain,Complete,1976-10-01 00:00,2100-01-01 00:00,360:MT:SNTL,46.55960,-111.28973,7890.00,Meagher,100301030501
Bourne,Complete,1978-10-01 00:00,2100-01-01 00:00,361:OR:SNTL,44.83052,-118.18787,5850.00,Baker,170502030101
Box Springs,Complete,2010-10-01 00:00,2100-01-01 00:00,1156:UT:SNTL,38.49746,-112.00779,9230.00,Piute,160300020107
Brackett Creek,Complete,1992-08-01 00:00,2100-01-01 00:00,365:MT:SNTL,45.89107,-110.93851,7370.00,Gallatin,100700030403
Brian Head,Complete,2011-10-01 00:00,2100-01-01 00:00,1154:UT:SNTL,37.67994,-112.85674,10040.00,Iron,160300060201
Brighton,Complete,1986-09-24 00:00,2100-01-01 00:00,366:UT:SNTL,40.59936,-111.58167,8790.00,Salt Lake,160202040201
Brooklyn Lake,Complete,1962-10-01 00:00,2100-01-01 00:00,367:WY:SNTL,41.36038,-106.23038,10250.00,Albany,101800100502
Brumley,Complete,1979-10-01 00:00,2100-01-01 00:00,369:CO:SNTL,39.08758,-106.54231,10570.00,Lake,110200010101
